ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0070482	response to oxygen levels	105/2752	394/18670	3.98137020647504e-10	1.41837691354435e-06	1.2066320635739e-06	ABAT/ACTN4/ADAM8/ALAD/APAF1/APOLD1/ATM/BACH1/BAD/BCL2/BMP2/BMP7/BNIP3/BNIP3L/CACNB3/CAPN2/CAT/CBFA2T3/CBL/CD24/CD34/CDKN1A/CITED2/COL1A1/CREB1/CXCR4/DDIT4/DNMT3A/E2F1/EDNRA/EGLN1/EGLN2/EIF4EBP1/ENDOG/ERCC3/GNB1/HIGD1A/HK2/HMOX2/IRAK1/KCND2/KCNK3/KCNMB1/LMNA/LPAR1/MDM4/MTHFR/MTOR/MYOD1/NAMPT/NDRG1/NF1/NFE2L2/NOTCH1/NOX4/NR4A2/OXTR/P4HB/PDK3/PGK1/PICK1/PKM/PLOD2/PMAIP1/POSTN/PPARA/PPARG/PRKCE/PSMA2/PSMA3/PSMA5/PSMA7/PSMB1/PSMB10/PSMB2/PSMB8/PSMB9/PSMC1/PSMC5/PSMD11/PSMD12/PSMD4/PSMD5/PSMD8/PSMD9/PTGIS/REST/RGCC/RHOA/RWDD3/RYR1/S100B/SIRT1/SLC6A4/SRC/SRF/STC2/TGFB2/TGFB3/TSC1/TXN2/UBA52/UCP3/VEGFC/XRCC1	105
BP	GO:0036293	response to decreased oxygen levels	100/2752	370/18670	4.5308318592696e-10	1.41837691354435e-06	1.2066320635739e-06	ABAT/ACTN4/ADAM8/ALAD/APAF1/APOLD1/ATM/BACH1/BAD/BCL2/BMP2/BMP7/BNIP3/BNIP3L/CACNB3/CAPN2/CAT/CBFA2T3/CBL/CD24/CD34/CITED2/CREB1/CXCR4/DDIT4/DNMT3A/E2F1/EDNRA/EGLN1/EGLN2/EIF4EBP1/ENDOG/ERCC3/GNB1/HIGD1A/HK2/HMOX2/IRAK1/KCND2/KCNK3/KCNMB1/LMNA/MDM4/MTHFR/MTOR/NAMPT/NDRG1/NF1/NFE2L2/NOTCH1/NOX4/NR4A2/OXTR/P4HB/PDK3/PGK1/PICK1/PKM/PLOD2/PMAIP1/POSTN/PPARA/PRKCE/PSMA2/PSMA3/PSMA5/PSMA7/PSMB1/PSMB10/PSMB2/PSMB8/PSMB9/PSMC1/PSMC5/PSMD11/PSMD12/PSMD4/PSMD5/PSMD8/PSMD9/PTGIS/REST/RGCC/RHOA/RWDD3/RYR1/S100B/SIRT1/SLC6A4/SRC/SRF/STC2/TGFB2/TGFB3/TSC1/TXN2/UBA52/UCP3/VEGFC/XRCC1	100
BP	GO:0001666	response to hypoxia	94/2752	359/18670	8.55354008356441e-09	1.78512381543989e-05	1.51862852009951e-05	ABAT/ACTN4/ADAM8/ALAD/APAF1/APOLD1/ATM/BACH1/BAD/BCL2/BMP2/BMP7/BNIP3/BNIP3L/CAPN2/CAT/CBFA2T3/CD24/CD34/CITED2/CREB1/CXCR4/DDIT4/DNMT3A/E2F1/EDNRA/EGLN1/EGLN2/EIF4EBP1/ENDOG/ERCC3/GNB1/HIGD1A/HK2/HMOX2/IRAK1/KCND2/KCNK3/KCNMB1/LMNA/MDM4/MTHFR/MTOR/NDRG1/NF1/NFE2L2/NOTCH1/NOX4/NR4A2/P4HB/PDK3/PGK1/PKM/PLOD2/PMAIP1/POSTN/PPARA/PRKCE/PSMA2/PSMA3/PSMA5/PSMA7/PSMB1/PSMB10/PSMB2/PSMB8/PSMB9/PSMC1/PSMC5/PSMD11/PSMD12/PSMD4/PSMD5/PSMD8/PSMD9/PTGIS/REST/RGCC/RHOA/RWDD3/RYR1/S100B/SIRT1/SLC6A4/SRC/SRF/STC2/TGFB2/TGFB3/TXN2/UBA52/UCP3/VEGFC/XRCC1	94
BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	53/2752	168/18670	2.47502566111729e-08	3.87403391606383e-05	3.29569206454039e-05	CDH1/CDH13/CDHR2/CEACAM5/CLSTN2/DCHS1/DSC2/FAT2/L1CAM/NPTN/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB5/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC4/PCDHGC5/PKD1/PLXNB2/PTPRM/ROBO3/ROBO4/TENM3	53
BP	GO:0006605	protein targeting	105/2752	432/18670	8.035302504468e-08	0.000100618057960948	8.55971172054907e-05	ACOX2/AGPS/AKAP5/AKT2/AMACR/AP4E1/AP4S1/BNIP3L/CACNB3/CAT/CEMIP/CHM/CHP1/CLU/CROT/DECR2/DHRS4/DNLZ/EHHADH/ERBB2/FBXW7/FYN/GCC2/GOSR2/GSTK1/HAP1/HAX1/HGS/HSP90AA1/HSPD1/HUWE1/ICMT/ITGB1BP1/KIF13B/LEPROT/MLYCD/MTCL1/NAGPA/NCF1/NUDT7/PAOX/PDZK1/PECR/PEX1/PEX14/PEX16/PEX2/PEX6/RABGEF1/RNF31/RPL10/RPL11/RPL12/RPL13A/RPL14/RPL17/RPL31/RPL35/RPL36A/RPL37A/RPL7/RPL9/RPLP0/RPLP2/RPS11/RPS19/RPS2/RPS24/RPS6/SCARB2/SDCBP/SEC61B/SEC62/SLC25A6/SPCS1/SPCS2/SPCS3/SREBF2/SSR1/SYNJ2BP/TAOK2/TIMM17A/TIMM23/TIMM23B/TIMM44/TIMM9/TOMM20/TOMM40/TOMM7/TRAK2/TRAM2/TSPO/UBA52/UBE2L3/USP9X/VAMP7/VPS11/VPS13D/VPS37B/VPS4A/YWHAQ/ZDHHC11/ZDHHC11B/ZDHHC14/ZDHHC18	105
BP	GO:0036294	cellular response to decreased oxygen levels	62/2752	217/18670	1.05547348328178e-07	0.000110138657980453	9.36964179895751e-05	ADAM8/BACH1/BAD/BCL2/BMP7/BNIP3/BNIP3L/CACNB3/CBL/CD34/CITED2/DNMT3A/E2F1/EGLN1/EGLN2/EIF4EBP1/ENDOG/GNB1/HIGD1A/IRAK1/KCND2/KCNK3/KCNMB1/LMNA/MDM4/MTOR/NAMPT/NDRG1/NFE2L2/NOTCH1/P4HB/PDK3/PGK1/PICK1/PMAIP1/PRKCE/PSMA2/PSMA3/PSMA5/PSMA7/PSMB1/PSMB10/PSMB2/PSMB8/PSMB9/PSMC1/PSMC5/PSMD11/PSMD12/PSMD4/PSMD5/PSMD8/PSMD9/PTGIS/RGCC/RWDD3/S100B/SIRT1/SRC/STC2/TSC1/UBA52	62
BP	GO:0071453	cellular response to oxygen levels	65/2752	234/18670	1.655203030401e-07	0.000143264916052359	0.000121877365348555	ADAM8/BACH1/BAD/BCL2/BMP7/BNIP3/BNIP3L/CACNB3/CBL/CD34/CITED2/DNMT3A/E2F1/EGLN1/EGLN2/EIF4EBP1/ENDOG/GNB1/HIGD1A/IRAK1/KCND2/KCNK3/KCNMB1/LMNA/LPAR1/MDM4/MTOR/MYOD1/NAMPT/NDRG1/NFE2L2/NOTCH1/P4HB/PDK3/PGK1/PICK1/PMAIP1/PPARG/PRKCE/PSMA2/PSMA3/PSMA5/PSMA7/PSMB1/PSMB10/PSMB2/PSMB8/PSMB9/PSMC1/PSMC5/PSMD11/PSMD12/PSMD4/PSMD5/PSMD8/PSMD9/PTGIS/RGCC/RWDD3/S100B/SIRT1/SRC/STC2/TSC1/UBA52	65
BP	GO:0031331	positive regulation of cellular catabolic process	90/2752	361/18670	2.01966850144081e-07	0.000143264916052359	0.000121877365348555	ABCD1/ADAM8/AGO2/AKT2/ATM/ATXN3/BAD/BAG2/BBS7/BCL2L11/BNIP3/BNIP3L/BTG2/CBFA2T3/CCDC22/CLU/CNOT7/CPT1A/CSNK1E/CTSC/DACT1/DAPK1/DCN/DET1/DVL1/EDEM2/ENDOG/ENTPD5/EPM2A/FBXW7/FLCN/FMR1/FURIN/GBA/GCLC/GTPBP1/HERPUD1/HK2/HNRNPD/HNRNPR/HSP90AA1/IL33/KDR/KEAP1/MAPK3/MEX3D/MLXIPL/MSN/NFE2L2/NNT/OPTN/P2RX7/PABPC1/PFKFB4/PHKG2/PIAS1/PIP4K2A/PNPLA2/PPARA/PRKD1/PSMC1/PTPN1/RAB3GAP1/RAB3GAP2/RDX/RNF144A/RNF19A/RNFT1/ROCK1/SH3BP4/SIRT1/SMAD7/SPTLC1/SUMO1/SUMO2/SUPV3L1/TAF1/TMEM259/TMEM59/TNFAIP3/TOMM7/TRIM13/TRIM8/TSC1/ULK1/USP5/VPS11/VPS13D/WAC/ZFP36	90
BP	GO:0022406	membrane docking	53/2752	178/18670	2.05939026428882e-07	0.000143264916052359	0.000121877365348555	AKAP9/C2CD3/CENPJ/CEP152/CEP162/CEP164/CEP290/CEP63/CEP70/CHP1/CSNK1E/CTBP2/DCTN3/HAUS3/HAUS4/HAUS7/HSP90AA1/IQCB1/MARK4/MOSPD3/MSN/NDRG4/NEK2/NPHP1/ODF2/PCM1/PDZD8/PEX16/PPP2R1A/PRKACA/ROCK1/RPGRIP1L/SFI1/SNAP29/SNPH/SNX3/STX10/STX11/STX12/STX4/STX5/SYT1/TUBA1A/TUBA4A/TUBB/TUBG1/UNC13B/VAMP3/VAMP8/VPS11/VPS33A/VPS33B/YKT6	53
BP	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	34/2752	96/18670	3.82905160173693e-07	0.000239736920784749	0.000203947380050409	CALR/CANX/CD36/CHUK/ITGB5/NCF1/NCF2/NCF4/PDIA3/PSMA2/PSMA3/PSMA5/PSMA7/PSMB1/PSMB10/PSMB2/PSMB8/PSMB9/PSMC1/PSMC5/PSMD11/PSMD12/PSMD4/PSMD5/PSMD8/PSMD9/SEC13/SEC22B/SEC23A/SEC24B/SEC24D/TAPBPL/VAMP3/VAMP8	34
