ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0030595	leukocyte chemotaxis	35/1285	224/18670	4.30157946225389e-06	0.0246394471597903	0.021458089549075	ADAM17/ADAM8/BST1/C5/CAMK1D/CCL3/CCL3L3/CCL7/CCR2/CCR6/CH25H/CSF3R/CXCL1/CXCL13/CXCL14/CXCL5/CXCL6/DUSP1/EDN2/EDN3/EDNRB/IL16/IL17RC/IL23A/IL6R/KIT/LYST/MMP28/MST1/PDGFB/SAA1/SCG2/STK39/TRPM4/VAV3	35
BP	GO:0072331	signal transduction by p53 class mediator	38/1285	267/18670	1.58770263051179e-05	0.0324610975027597	0.028269836273445	AEN/ATRX/BCL3/BRCA2/BTG2/CCNB1/CDK2/CDKN1B/CNOT6/CNOT7/DDIT4/ELL3/EP300/FOXO3/GTSE1/KAT5/MAGEA2/MAGEA2B/MAPK11/MSX1/MUC1/MYBBP1A/NOC2L/PLAGL1/RAD1/RFC4/RPA2/RPL23/RPL5/RRN3/TAF13/TAF4B/TAF9/TAF9B/TFDP2/TP63/WRN/ZMPSTE24	38
BP	GO:0051235	maintenance of location	44/1285	330/18670	1.88291208333408e-05	0.0324610975027597	0.028269836273445	ATP1A2/BBS4/BCL3/BSCL2/CALM1/CALM2/CALM3/CCL3/CIDEA/DMD/EZR/FBXW7/FGF2/FKBP1B/GAA/GOLPH3/HK1/ITPR3/JUP/KDELR3/LATS1/LIME1/LPL/MCOLN1/MXI1/NFKBIA/NOL3/PARK7/PLCB3/PNPLA2/PRKCE/PTPN6/RYR1/RYR3/SOAT1/SQLE/SRGN/SYNE3/TMEM38B/TMSB15A/TMSB15B/TONSL/VPS13A/VPS13D	44
BP	GO:0010273	detoxification of copper ion	7/1285	15/18670	2.8335455222381e-05	0.0324610975027597	0.028269836273445	MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/PARK7	7
BP	GO:1990169	stress response to copper ion	7/1285	15/18670	2.8335455222381e-05	0.0324610975027597	0.028269836273445	MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/PARK7	7
BP	GO:0045839	negative regulation of mitotic nuclear division	13/1285	52/18670	3.70303658130523e-05	0.0332661343429601	0.0289709296257145	ANAPC15/ATRX/AURKAIP1/BMP4/BMP7/BUB1/CCNB1/DUSP1/IK/NAA10/PSMG2/TNKS/TPR	13
BP	GO:0051784	negative regulation of nuclear division	14/1285	60/18670	4.31986617562343e-05	0.0332661343429601	0.0289709296257145	ANAPC15/ATRX/AURKAIP1/BMP4/BMP7/BUB1/CCNB1/DUSP1/IK/NAA10/PSMG2/RAD1/TNKS/TPR	14
BP	GO:0001819	positive regulation of cytokine production	55/1285	464/18670	5.54488820484198e-05	0.0332661343429601	0.0289709296257145	ADAM17/ADAM8/ADORA2B/ARNT/ATF2/ATP6AP2/BCL3/BIRC2/C5/CCL3/CCR2/CD46/CD58/CD6/CEBPG/EP300/EREG/FLOT1/HK1/HSPA1A/HSPA1B/HYAL2/IL15/IL17B/IL17RC/IL1RAP/IL23A/IL27RA/IL33/IL6R/IL7/IRF3/IRF4/IRF7/LPL/MAP3K7/MAPK11/MMP12/MYD88/NPLOC4/ORM1/PARK7/POLR1C/POSTN/PUM2/RASGRP1/ROCK2/RORA/SAA1/SETD2/SPN/SPTBN1/STAT1/TNFRSF14/TUSC2	55
BP	GO:0061687	detoxification of inorganic compound	7/1285	17/18670	7.57638616782971e-05	0.0332661343429601	0.0289709296257145	MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/PARK7	7
BP	GO:0097501	stress response to metal ion	7/1285	17/18670	7.57638616782971e-05	0.0332661343429601	0.0289709296257145	MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/PARK7	7
BP	GO:0046686	response to cadmium ion	14/1285	63/18670	7.66850219632499e-05	0.0332661343429601	0.0289709296257145	AKR1C3/CDKN1B/EGFR/FOS/GOT1/KIT/MAPK9/MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/TERT	14
BP	GO:2000401	regulation of lymphocyte migration	14/1285	63/18670	7.66850219632499e-05	0.0332661343429601	0.0289709296257145	ADAM17/ADAM8/ADTRP/APOD/CCL3/CCL7/CCR2/CCR6/CXCL13/CXCL14/IL27RA/SPN/STK39/TNFRSF14	14
BP	GO:0002685	regulation of leukocyte migration	29/1285	196/18670	7.67365053217805e-05	0.0332661343429601	0.0289709296257145	ADAM17/ADAM8/ADTRP/APOD/BMP5/BST1/C5/CAMK1D/CCL3/CCL7/CCR2/CCR6/CXCL13/CXCL14/DUSP1/EDN2/EDN3/HOXA7/IL23A/IL27RA/IL33/IL6R/KITLG/MMP28/MST1/RABGEF1/SPN/STK39/TNFRSF14	29
