		sim
1	original_firstorder_10Percentile	original_firstorder_10Percentile	1
2	original_firstorder_10Percentile	original_firstorder_90Percentile	0.416666666666667
3	original_firstorder_10Percentile	original_firstorder_Energy	0.75
4	original_firstorder_10Percentile	original_firstorder_Entropy	0.166666666666667
5	original_firstorder_10Percentile	original_firstorder_InterquartileRange	0.0833333333333333
6	original_firstorder_10Percentile	original_firstorder_Kurtosis	0.333333333333333
7	original_firstorder_10Percentile	original_firstorder_Maximum	0.166666666666667
8	original_firstorder_10Percentile	original_firstorder_MeanAbsoluteDeviation	0.25
9	original_firstorder_10Percentile	original_firstorder_Mean	0
10	original_firstorder_10Percentile	original_firstorder_Median	0.166666666666667
11	original_firstorder_10Percentile	original_firstorder_Minimum	0.333333333333333
12	original_firstorder_10Percentile	original_firstorder_Range	0.166666666666667
13	original_firstorder_10Percentile	original_firstorder_RobustMeanAbsoluteDeviation	0
14	original_firstorder_10Percentile	original_firstorder_RootMeanSquared	0.25
15	original_firstorder_10Percentile	original_firstorder_Skewness	0.25
16	original_firstorder_10Percentile	original_firstorder_TotalEnergy	0.75
17	original_firstorder_10Percentile	original_firstorder_Uniformity	0.0833333333333333
18	original_firstorder_10Percentile	original_firstorder_Variance	0
19	original_firstorder_10Percentile	original_glcm_Autocorrelation	0.666666666666667
20	original_firstorder_10Percentile	original_glcm_JointAverage	0.666666666666667
21	original_firstorder_10Percentile	original_glcm_ClusterProminence	0
22	original_firstorder_10Percentile	original_glcm_ClusterShade	0
23	original_firstorder_10Percentile	original_glcm_ClusterTendency	0.5
24	original_firstorder_10Percentile	original_glcm_Contrast	0.25
25	original_firstorder_10Percentile	original_glcm_Correlation	0.166666666666667
26	original_firstorder_10Percentile	original_glcm_DifferenceAverage	0.583333333333333
27	original_firstorder_10Percentile	original_glcm_DifferenceEntropy	0.583333333333333
28	original_firstorder_10Percentile	original_glcm_DifferenceVariance	0.833333333333333
29	original_firstorder_10Percentile	original_glcm_JointEnergy	0.25
30	original_firstorder_10Percentile	original_glcm_JointEntropy	0.25
31	original_firstorder_10Percentile	original_glcm_Imc1	0.416666666666667
32	original_firstorder_10Percentile	original_glcm_Imc2	0.583333333333333
33	original_firstorder_10Percentile	original_glcm_Idm	0.166666666666667
34	original_firstorder_10Percentile	original_glcm_Idmn	0.25
35	original_firstorder_10Percentile	original_glcm_Id	0.5
36	original_firstorder_10Percentile	original_glcm_Idn	0
37	original_firstorder_10Percentile	original_glcm_InverseVariance	0.583333333333333
38	original_firstorder_10Percentile	original_glcm_MaximumProbability	0.166666666666667
39	original_firstorder_10Percentile	original_glcm_SumEntropy	0.25
40	original_firstorder_10Percentile	original_glcm_SumSquares	0.5
41	original_firstorder_10Percentile	original_glrlm_GrayLevelNonUniformity	0.25
42	original_firstorder_10Percentile	original_glrlm_GrayLevelNonUniformityNormalized	0.75
43	original_firstorder_10Percentile	original_glrlm_GrayLevelVariance	0.166666666666667
44	original_firstorder_10Percentile	original_glrlm_HighGrayLevelRunEmphasis	0.25
45	original_firstorder_10Percentile	original_glrlm_LongRunEmphasis	0.333333333333333
46	original_firstorder_10Percentile	original_glrlm_LongRunHighGrayLevelEmphasis	0.25
47	original_firstorder_10Percentile	original_glrlm_LongRunLowGrayLevelEmphasis	0.666666666666667
48	original_firstorder_10Percentile	original_glrlm_LowGrayLevelRunEmphasis	0.416666666666667
49	original_firstorder_10Percentile	original_glrlm_RunEntropy	0.666666666666667
50	original_firstorder_10Percentile	original_glrlm_RunLengthNonUniformity	0.166666666666667
51	original_firstorder_10Percentile	original_glrlm_RunLengthNonUniformityNormalized	0.5
52	original_firstorder_10Percentile	original_glrlm_RunPercentage	0.583333333333333
53	original_firstorder_10Percentile	original_glrlm_RunVariance	0
54	original_firstorder_10Percentile	original_glrlm_ShortRunEmphasis	0.833333333333333
55	original_firstorder_10Percentile	original_glrlm_ShortRunHighGrayLevelEmphasis	0.583333333333333
56	original_firstorder_10Percentile	original_glrlm_ShortRunLowGrayLevelEmphasis	0.166666666666667
57	original_firstorder_10Percentile	original_glszm_GrayLevelNonUniformity	0.25
58	original_firstorder_10Percentile	original_glszm_GrayLevelNonUniformityNormalized	0.583333333333333
59	original_firstorder_10Percentile	original_glszm_GrayLevelVariance	0.333333333333333
60	original_firstorder_10Percentile	original_glszm_HighGrayLevelZoneEmphasis	0.75
61	original_firstorder_10Percentile	original_glszm_LargeAreaEmphasis	0.25
62	original_firstorder_10Percentile	original_glszm_LargeAreaHighGrayLevelEmphasis	0.583333333333333
63	original_firstorder_10Percentile	original_glszm_LargeAreaLowGrayLevelEmphasis	0.5
64	original_firstorder_10Percentile	original_glszm_LowGrayLevelZoneEmphasis	0.333333333333333
65	original_firstorder_10Percentile	original_glszm_SizeZoneNonUniformity	0.333333333333333
66	original_firstorder_10Percentile	original_glszm_SizeZoneNonUniformityNormalized	0.583333333333333
67	original_firstorder_10Percentile	original_glszm_SmallAreaEmphasis	0.25
68	original_firstorder_10Percentile	original_glszm_SmallAreaHighGrayLevelEmphasis	0.166666666666667
69	original_firstorder_10Percentile	original_glszm_SmallAreaLowGrayLevelEmphasis	0
70	original_firstorder_10Percentile	original_glszm_ZoneEntropy	0.333333333333333
71	original_firstorder_10Percentile	original_glszm_ZonePercentage	0.666666666666667
