from	to	fre
original_glszm_SizeZoneNonUniformityNormalized	ABHD12	1
original_glszm_SizeZoneNonUniformityNormalized	AHR	1
original_glszm_SizeZoneNonUniformityNormalized	ASAP3	3
original_glszm_SizeZoneNonUniformityNormalized	CLASP1	3
original_glszm_SizeZoneNonUniformityNormalized	IKBKG	1
original_glszm_SizeZoneNonUniformityNormalized	ITGAV	4
original_glszm_SizeZoneNonUniformityNormalized	NLRP1	1
original_glszm_SizeZoneNonUniformityNormalized	PI4KA	3
original_glszm_SizeZoneNonUniformityNormalized	PIGO	1
original_glszm_SizeZoneNonUniformityNormalized	PPM1A	1
original_glszm_SizeZoneNonUniformityNormalized	RPL29	1
original_glszm_SizeZoneNonUniformityNormalized	RPS3A	4
original_glszm_SizeZoneNonUniformityNormalized	SH3KBP1	3
original_glszm_SizeZoneNonUniformityNormalized	SVIL	3
original_glszm_SizeZoneNonUniformityNormalized	ZDHHC18	1
original_glszm_ZoneEntropy	ABHD12	1
original_glszm_ZoneEntropy	AHR	1
original_glszm_ZoneEntropy	ASAP3	3
original_glszm_ZoneEntropy	CLASP1	3
original_glszm_ZoneEntropy	HBG2	2
original_glszm_ZoneEntropy	HBZ	2
original_glszm_ZoneEntropy	IKBKG	1
original_glszm_ZoneEntropy	ITGAV	4
original_glszm_ZoneEntropy	IYD	2
original_glszm_ZoneEntropy	LOXHD1	2
original_glszm_ZoneEntropy	NLRP1	1
original_glszm_ZoneEntropy	PI4KA	3
original_glszm_ZoneEntropy	PIGO	1
original_glszm_ZoneEntropy	PPM1A	1
original_glszm_ZoneEntropy	RPL29	1
original_glszm_ZoneEntropy	RPS3A	4
original_glszm_ZoneEntropy	SH3KBP1	3
original_glszm_ZoneEntropy	SVIL	3
original_glszm_ZoneEntropy	ZDHHC18	1
original_glrlm_ShortRunHighGrayLevelEmphasis	ABHD12	1
original_glrlm_ShortRunHighGrayLevelEmphasis	AHR	1
original_glrlm_ShortRunHighGrayLevelEmphasis	ASAP3	3
original_glrlm_ShortRunHighGrayLevelEmphasis	CLASP1	3
original_glrlm_ShortRunHighGrayLevelEmphasis	COCH	2
original_glrlm_ShortRunHighGrayLevelEmphasis	COL21A1	2
original_glrlm_ShortRunHighGrayLevelEmphasis	COL7A1	2
original_glrlm_ShortRunHighGrayLevelEmphasis	CYP26B1	1
original_glrlm_ShortRunHighGrayLevelEmphasis	DLX5	2
original_glrlm_ShortRunHighGrayLevelEmphasis	FOXC1	2
original_glrlm_ShortRunHighGrayLevelEmphasis	HBG2	2
original_glrlm_ShortRunHighGrayLevelEmphasis	HBZ	2
original_glrlm_ShortRunHighGrayLevelEmphasis	IKBKG	1
original_glrlm_ShortRunHighGrayLevelEmphasis	ITGAV	4
original_glrlm_ShortRunHighGrayLevelEmphasis	IYD	2
original_glrlm_ShortRunHighGrayLevelEmphasis	LOXHD1	2
original_glrlm_ShortRunHighGrayLevelEmphasis	MEF2D	2
original_glrlm_ShortRunHighGrayLevelEmphasis	MMP14	2
original_glrlm_ShortRunHighGrayLevelEmphasis	NLRP1	1
original_glrlm_ShortRunHighGrayLevelEmphasis	PI4KA	3
original_glrlm_ShortRunHighGrayLevelEmphasis	PIGO	1
