nodes_gene_out	V2
ABHD12	Genes
ITGAV	Genes
PIGO	Genes
PPM1A	Genes
ZDHHC18	Genes
ASAP3	Genes
CLASP1	Genes
PI4KA	Genes
RPS3A	Genes
SH3KBP1	Genes
SVIL	Genes
AHR	Genes
IKBKG	Genes
NLRP1	Genes
RPL29	Genes
HBG2	Genes
HBZ	Genes
IYD	Genes
LOXHD1	Genes
COCH	Genes
COL21A1	Genes
COL7A1	Genes
DLX5	Genes
FOXC1	Genes
MEF2D	Genes
MMP14	Genes
THBS3	Genes
CYP26B1	Genes
GCK	Genes
IDH2	Genes
MTOR	Genes
PFKL	Genes
PIK3CA	Genes
LDHC	Genes
NDUFB1	Genes
NDUFB8	Genes
PRKCD	Genes
SOS1	Genes
ABI3BP	Genes
CCDC80	Genes
CD47	Genes
COL14A1	Genes
COL17A1	Genes
COL1A2	Genes
COL22A1	Genes
COL2A1	Genes
COL3A1	Genes
DPP4	Genes
ELN	Genes
GAS2	Genes
MMP23B	Genes
SERPINE1	Genes
FCN1	Genes
CDH13	Genes
PZP	Genes
SRPX	Genes
SSC5D	Genes
WNT5A	Genes
C3	Genes
EDEM3	Genes
IL12B	Genes
P4HA3	Genes
PROC	Genes
CARD16	Genes
CD177	Genes
FLOT2	Genes
SLC16A10	Genes
COL7A1	Genes
DPP4	Genes
original_glszm_SizeZoneNonUniformityNormalized	Features
original_glszm_ZoneEntropy	Features
original_glrlm_ShortRunHighGrayLevelEmphasis	Features
original_glszm_SizeZoneNonUniformity	Features
original_glszm_SmallAreaEmphasis	Features
original_glrlm_ShortRunEmphasis	Features
original_glrlm_RunLengthNonUniformityNormalized	Features
original_glszm_SmallAreaHighGrayLevelEmphasis	Features
GO:0042157	Functions
GO:0005925	Functions
GO:0005924	Functions
GO:0030055	Functions
GO:0044445	Functions
GO:0004601	Functions
GO:0016684	Functions
GO:0060350	Functions
GO:0060349	Functions
hsa05230	Functions
hsa05208	Functions
GO:0030198	Functions
GO:0005581	Functions
GO:0062023	Functions
GO:0005788	Functions
GO:0044420	Functions
GO:0098644	Functions
GO:0005583	Functions
GO:0098643	Functions
GO:0030020	Functions
GO:0005201	Functions
GO:0002020	Functions
GO:0048407	Functions
hsa04974	Functions
