V1	V2	V3	V4	V5	V6	V7	V8	V9
0.06198	7.34584	4.98306	54.58862	0.20392	0.30758	0.14848	3.10154	0
0.08474	6.45434	3.66564	50.6606	0.24492	0.3248	0.1449	2.36998	0
0.05706	7.56484	6.13882	60.21006	0.19184	0.30068	0.1415	3.39498	0
0.07406	7.03514	6.56018	49.0415	0.22468	0.37012	0.179	3.61588	0
0.07164	7.1098	4.36824	95.54778	0.22276	0.2977	0.14124	3.19836	0
0.08025	6.1365	2.2087	22.5818	0.2283	0.30755	0.1346	1.72325	0
0.07776	7.0833	7.60396	51.14442	0.2379	0.36442	0.17174	4.6015	0
0.08064	6.74636	3.8832	87.16634	0.23532	0.33358	0.15316	2.43946	0
0.0659	7.105	5.9629	43.3313	0.2148	0.3714	0.1822	3.1449	0
0.0824	6.556225	3.607125	43.6766	0.240575	0.325225	0.146975	2.700075	0
0.07283333	6.8633	5.2148	39.79943333	0.22233333	0.3669	0.18046667	3.34203333	0
0.082175	6.7115	4.25465	46.507425	0.244375	0.319	0.145775	3.03205	0
0.08094	6.86168	5.16838	50.3302	0.24318	0.32984	0.15116	3.74554	0
0.03784	7.39386	3.26574	17.40762	0.1352	0.25362	0.1199	1.60978	1
0.04212	7.08316	2.87212	14.35188	0.15174	0.21582	0.0977	1.81136	1
0.055875	7.0645	2.281775	37.6884	0.1968	0.2524	0.112575	1.73445	1
0.08054	6.67216	3.1367	61.6013	0.24382	0.31374	0.14124	2.24986	1
0.0747	6.88462	4.91066	45.20944	0.2268	0.34728	0.16486	3.0519	1
0.0372	7.657525	3.7542	20.328175	0.144	0.237525	0.118125	2.2336	1
0.0388	7.3537333	3.2294	27.2378333	0.1402667	0.2815	0.1297333	1.2922	1
0.057675	7.23315	4.446525	41.812125	0.195	0.273975	0.1277	2.763675	0
0.059125	7.7286	6.250875	83.349275	0.200075	0.28215	0.131175	4.00695	0
0.0461	7.417075	2.916325	38.803875	0.160075	0.2476	0.1176	1.884875	1
0.0798	6.948825	6.20835	48.12355	0.238325	0.345125	0.158775	3.940175	0
0.06365	7.17245	5.4583	40.04915	0.19955	0.31955	0.151	3.12975	1
0.03778	7.58918	3.75262	20.98882	0.1452	0.24908	0.12146	2.05888	1
0.03505	8.20785	4.297675	46.086825	0.138275	0.2612	0.125075	1.9226	1
0.065125	7.173375	5.410075	48.589975	0.2117	0.319575	0.149525	3.093425	1
0.06428	7.2399	2.68334	133.26286	0.20554	0.26874	0.12294	1.96176	1
0.07465	6.85355	6.02905	54.0424	0.2263	0.3078	0.1466	4.03345	1
0.0444	7.59518	4.1264	35.54302	0.16594	0.29188	0.13744	2.07868	1
0.07844	6.77092	4.20798	43.48978	0.23698	0.34434	0.16234	2.8627	0
0.06475	7.237725	5.47645	56.546925	0.213825	0.3204	0.146925	2.833175	1
0.06586	7.3697	4.57208	182.71188	0.2097	0.3163	0.15328	2.80704	0
0.0729	7.03128	6.57888	44.609	0.2199	0.37302	0.1842	3.69852	1
0.053	6.88108	1.96392	27.91044	0.18352	0.21792	0.09344	1.50666	1
0.04186	7.01508	4.68924	10.8177	0.15366	0.27634	0.13386	2.5449	1
0.05534	7.30284	3.34028	59.95348	0.18924	0.28452	0.13014	1.8467	1
0.08416667	6.65176667	7.9365	32.29766667	0.24263333	0.34133333	0.16	5.2092	0
0.047025	7.418775	3.616525	33.33115	0.164725	0.25895	0.1212	2.053325	1
0.048775	7.41205	4.760925	30.63275	0.17345	0.294375	0.144975	2.529625	1
0.03975	7.00055	2.4957	12.755375	0.142075	0.243375	0.114575	1.34305	1
0.07276	7.0934	6.41112	52.77688	0.22522	0.37306	0.18244	3.48126	1
0.02918	7.90964	2.83232	22.3594	0.11892	0.22588	0.11072	1.37332	1
0.08342	6.46968	3.81358	34.008	0.24052	0.3237	0.1506	2.76708	1
0.04155	6.7685	4.672975	8.0418	0.1459	0.304425	0.1411	1.9734	0
0.07716	6.80726	5.86504	43.24932	0.23014	0.31474	0.1419	3.76924	0
0.07504	6.9382	5.92558	43.3736	0.2128	0.3582	0.17018	3.57058	0
0.0557	7.40502	7.53122	34.235	0.18892	0.37832	0.19008	3.737	0
0.04532	7.42384	3.85698	32.31134	0.1598	0.29248	0.13384	2.06926	1
0.0359	7.49014	2.3658	21.14812	0.1415	0.21966	0.10262	1.50008	0
0.03233333	7.54783333	3.97656667	11.86736667	0.12923333	0.219	0.1062	2.17606667	1
0.07968	7.0385	5.76014	64.83404	0.24014	0.34576	0.16344	3.84052	0
