V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25
7.34584	0.06198	4.98306	54.58862	0.20392	0.30758	0.14848	3.10154	0.1762	0.96086	0.1889	0.22708	13.08256	0.05232	2.9758	2.66028	539.7773	232.8	0.21028	0.17512	544936.0368	3.35202	0.17514	14.2	0
6.45434	0.08474	3.66564	50.6606	0.24492	0.3248	0.1449	2.36998	0.33604	0.94486	0.36166	0.16536	5.58886	0.0987	1.59726	1.93228	460.1856	189.8	0.3013	0.13912	1232356	2.59756	0.22694	13.4	0
7.56484	0.05706	6.13882	60.21006	0.19184	0.30068	0.1415	3.39498	0.20172	0.9777	0.18292	0.17784	13.43646	0.04706	4.1297	2.63436	925.5845	236.4	0.1984	0.14714	1985580	4.02082	0.15086	3.8	0
7.03514	0.07406	6.56018	49.0415	0.22468	0.37012	0.179	3.61588	0.23092	0.91788	0.1547	0.28068	12.54268	0.05338	1.86746	2.3738	358.61568	214.6	0.18476	0.21616	218099.7747	3.4778	0.19394	31.78	0
7.1098	0.07164	4.36824	95.54778	0.22276	0.2977	0.14124	3.19836	0.20228	0.96442	0.21472	0.19284	10.84132	0.05706	2.76066	2.48462	626.5067	186	0.21694	0.15532	1164186	2.75246	0.17926	6.6	0
6.1365	0.08025	2.2087	22.5818	0.2283	0.30755	0.1346	1.72325	0.46595	0.912	0.36225	0.11125	3.023	0.09375	0.64875	1.40655	806.7038	142.5	0.31375	0.1003	2091836	1.31045	0.312	0	0
7.0833	0.07776	7.60396	51.14442	0.2379	0.36442	0.17174	4.6015	0.18426	0.95046	0.1763	0.25558	13.75512	0.05434	2.7909	2.6268	441.53046	198.4	0.18702	0.20344	239584.2751	3.976	0.15904	23.2	0
6.74636	0.08064	3.8832	87.16634	0.23532	0.33358	0.15316	2.43946	0.31268	0.89318	0.2139	0.22554	8.70556	0.0734	1.09702	1.98182	444.09302	184.2	0.29064	0.1766	946621.5171	2.22582	0.24804	29.2	0
7.105	0.0659	5.9629	43.3313	0.2148	0.3714	0.1822	3.1449	0.2023	0.9275	0.1851	0.2791	11.1575	0.0594	2.0507	2.4681	313.8413	199	0.1992	0.2133	212300.8222	3.0045	0.1886	20	0
6.556225	0.0824	3.607125	43.6766	0.240575	0.325225	0.146975	2.700075	0.345175	0.93455	0.312975	0.158325	5.160775	0.08175	1.365825	1.869	554.2745	189.5	0.253425	0.136075	1595508	2.351625	0.236475	3.25	0
6.8633	0.07283333	5.2148	39.79943	0.2223333	0.3669	0.1804667	3.342033	0.2325333	0.9248	0.2465	0.2855	10.64213	0.08373333	2.0574	2.372167	284.8761	199.3333	0.2816333	0.2108667	214085	3.2772	0.1973667	22.66667	0
6.7115	0.082175	4.25465	46.50742	0.244375	0.319	0.145775	3.03205	0.32925	0.95855	0.26535	0.14845	6.15395	0.06915	1.831075	2.001425	695.3625	188.25	0.2236	0.128075	1891575	2.753225	0.19665	2.5	0
6.86168	0.08094	5.16838	50.3302	0.24318	0.32984	0.15116	3.74554	0.2217	0.94218	0.2023	0.21512	10.00402	0.0605	1.91938	2.3773	467.34294	216.8	0.21672	0.17208	554685.4003	3.3276	0.188	19.6	0
7.39386	0.03784	3.26574	17.40762	0.1352	0.25362	0.1199	1.60978	0.26158	0.96416	0.29708	0.17152	8.40528	0.05626	2.48378	2.26706	581.0012	183	0.25136	0.14108	1812799	2.82486	0.1943	7.4	1
7.08316	0.04212	2.87212	14.35188	0.15174	0.21582	0.0977	1.81136	0.429	0.97824	0.2887	0.0877	6.02124	0.04936	2.10208	1.77674	1788.71	185.2	0.23566	0.07944	11711930	2.8335	0.19316	1.4	1
7.0645	0.055875	2.281775	37.6884	0.1968	0.2524	0.112575	1.73445	0.41755	0.9411	0.3477	0.11875	3.958225	0.0679	1.031875	1.6306	957.8383	173	0.29445	0.104175	9021499	1.864675	0.256875	0.75	1
6.67216	0.08054	3.1367	61.6013	0.24382	0.31374	0.14124	2.24986	0.28906	0.9263	0.33464	0.19476	6.02386	0.09216	1.37762	2.03536	346.1763	187.6	0.30448	0.15842	1005650	2.26562	0.23438	11.8	1
6.88462	0.0747	4.91066	45.20944	0.2268	0.34728	0.16486	3.0519	0.25368	0.9182	0.19168	0.25282	10.51776	0.06588	1.61608	2.24672	402.68306	194.4	0.25958	0.19374	391516.5784	3.02168	0.21096	27.6	1
7.657525	0.0372	3.7542	20.32818	0.144	0.237525	0.118125	2.2336	0.169975	0.96315	0.182025	0.1986	14.93417	0.0398	2.74185	2.66165	944.6494	198.25	0.21405	0.1573	680309.8	3.271	0.17305	23	1
7.353733	0.0388	3.2294	27.23783	0.1402667	0.2815	0.1297333	1.2922	0.3421333	0.9563	0.2940333	0.1498667	5.894633	0.0612	1.738633	1.9554	675.8288	178.3333	0.2651	0.128	3659890	2.328533	0.2130667	4.666667	1
7.23315	0.057675	4.446525	41.81213	0.195	0.273975	0.1277	2.763675	0.27615	0.9737	0.237375	0.150225	9.8421	0.05665	2.9356	2.2981	964.9995	214.75	0.256125	0.1259	3038779	3.481475	0.1758	5	0
7.7286	0.059125	6.250875	83.34928	0.200075	0.28215	0.131175	4.00695	0.227075	0.980225	0.19325	0.164675	13.82675	0.045	4.30615	2.55305	1244.945	247	0.196025	0.136925	4306156	4.628575	0.143075	9	0
